id,kastid,beginperiode,eindperiode,gemeente,straat,latitude,longitude,snelheidslimiet,vrachtwagenvrijezone,snelheid,tijd,overschreden,type
1,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-04 21:37:24,0,Motorcycle
2,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,43,2023-12-04 06:25:28,1,Motorcycle
3,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,69,2023-12-01 14:55:30,1,Bus
4,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,35,2023-12-04 18:34:58,0,Truck
5,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,26,2023-12-03 08:44:34,0,Motorcycle
6,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,39,2023-12-07 02:13:17,0,Bycicle
7,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,70,2023-12-04 05:52:11,1,Bycicle
8,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,67,2023-12-05 15:52:00,1,Bus
9,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,28,2023-12-07 01:04:24,0,Bycicle
10,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,66,2023-12-06 22:16:16,0,Bycicle
11,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,71,2023-12-04 12:30:28,1,Bycicle
12,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,28,2023-12-07 23:44:42,0,Motorcycle
13,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,37,2023-12-01 21:56:55,0,Bus
14,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,56,2023-12-01 15:47:14,1,Truck
15,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,51,2023-12-03 02:54:41,1,Bus
16,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,26,2023-12-02 01:40:35,0,Car
17,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,38,2023-12-07 21:39:12,0,Motorcycle
18,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,58,2023-12-05 18:38:53,1,Motorcycle
19,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,31,2023-12-01 00:08:59,0,Motorcycle
20,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,75,2023-12-03 21:04:24,1,Motorcycle
21,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,70,2023-12-02 07:02:03,1,Car
22,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,47,2023-12-05 10:15:08,0,Truck
23,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,45,2023-12-06 07:58:55,1,Bycicle
24,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,40,2023-12-02 03:53:18,0,Bycicle
25,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,50,2023-12-05 01:11:24,1,Bycicle
26,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,38,2023-12-03 04:28:15,1,Car
27,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,44,2023-12-01 13:15:11,0,Bus
28,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,26,2023-12-03 02:08:21,0,Bus
29,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,70,2023-12-02 15:58:19,0,Truck
30,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,57,2023-12-02 00:57:25,0,Bycicle
31,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,51,2023-12-05 02:22:04,0,Motorcycle
32,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,50,2023-12-01 06:08:01,0,Truck
33,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,38,2023-12-05 23:57:18,0,Truck
34,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,38,2023-12-06 07:42:12,1,Bus
35,2,12/1/2023,12/8/2023,Geel,Stationstraat 6,51.1629589868,4.9905431763,50,0,45,2023-12-06 11:05:54,0,Bycicle
36,1,12/1/2023,12/8/2023,Mol,stokt 20,51.1919082357,5.0672225372,30,1,71,2023-12-05 01:25:18,1,Motorcycle
37,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,47,2023-12-01 05:41:40,0,Bycicle
38,3,12/1/2023,12/8/2023,Meerhout,steenstraat 135,51.1339351879,5.0689403576,70,0,43,2023-12-03 12:18:05,0,Bus
